ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
ÇÑÈ­ 0 4 0 0 0 0 0 0 0 4 8 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
LG 0 4 0 2 0 1 0 4 4 15 18 0
kt 1 1 0 0 2 0 1 1 0 6 12 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
KIA 0 2 0 2 1 2 0 0 0 7 16 0
ÇÑÈ­ 0 1 0 0 0 0 1 0 0 2 8 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
·Ôµ¥ 0 0 0 5 0 2 0 0 0 7 15 1
SK 0 0 0 0 0 1 0 1 0 2 6 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
µÎ»ê 0 0 0 0 3 0 2 0 0 5 12 0
LG 0 0 0 0 1 0 0 2 0 3 5 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
³Ø¼¾ 0 0 3 0 0 0 0 1 0 4 13 1
NC 1 0 2 0 5 0 0 0 - 8 12 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
SK 1 0 3 0 0 0 0 0 0 4 6 0
ÇÑÈ­ 0 0 0 1 0 0 0 0 0 1 8 2
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
»ï¼º 0 0 1 1 0 0 0 1 0 3 5 0
LG 0 0 1 2 0 0 0 0 1 4 9 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
³Ø¼¾ 0 0 0 0 0 0 1 1 2 4 9 2
NC 0 2 8 0 0 1 0 0 - 11 15 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
KIA 0 1 0 0 0 0 0 1 0 2 6 1
kt 0 3 0 2 0 3 12 0 - 20 25 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
µÎ»ê 1 0 0 2 1 0 0 0 2 6 10 0
ÇÑÈ­ 0 0 0 0 2 0 1 0 1 4 9 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
»ï¼º 1 3 0 0 0 5 0 0 1 10 10 0
LG 0 0 0 2 0 1 0 0 0 3 10 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
KIA 0 0 0 3 0 2 0 0 0 5 8 4
kt 0 0 0 2 0 0 0 1 0 3 9 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
KIA 0 0 2 3 2 0 0 0 3 10 13 0
kt 0 0 1 0 0 1 0 0 0 2 12 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
LG 0 0 0 0 0 0 2 0 0 2 6 1
·Ôµ¥ 0 0 0 0 2 0 2 0 - 4 6 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
NC 5 0 1 0 0 2 0 0 0 0 0 0 8 16 1
ÇÑÈ­ 4 0 0 0 0 3 1 0 0 0 0 0 8 15 2
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
SK 0 0 0 0 0 0 3 0 0 3 8 0
µÎ»ê 0 0 1 1 0 0 0 0 0 2 6 2
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
³Ø¼¾ 0 1 0 2 3 0 0 0 3 9 15 2
»ï¼º 2 0 1 3 4 0 0 0 - 10 12 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
NC 1 0 0 1 0 0 0 0 0 0 7 9 10 0
·Ôµ¥ 0 0 0 1 0 0 0 1 0 0 0 2 9 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
NC 0 0 0 0 0 0 0 0 0 0 7 1
·Ôµ¥ 0 1 0 0 0 0 0 0 - 1 3 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
·Ôµ¥ 0 2 0 0 2 0 0 2 0 6 12 0
NC 3 0 2 0 5 2 0 1 - 13 13 2
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
NC 0 0 0 0 7 0 0 2 0 9 15 0
·Ôµ¥ 0 0 0 0 0 0 0 0 0 0 8 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
NC 0 0 2 0 4 0 0 7 0 13 17 0
µÎ»ê 0 1 0 3 1 0 0 0 0 5 9 2
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
NC 0 3 1 0 2 0 1 0 0 7 11 1
µÎ»ê 1 0 3 0 0 8 3 2 - 17 15 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
µÎ»ê 0 5 1 1 0 7 0 0 0 14 13 0
NC 0 2 1 0 0 0 0 0 0 3 9 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
µÎ»ê 0 0 3 1 0 3 1 4 2 14 17 0
NC 1 0 0 0 3 0 1 0 0 5 12 0
